Region,Age,Year,NetMigration
1,0,2000,3
1,0,2001,-58
1,0,2002,-114
1,0,2003,-133
1,0,2004,-81
1,0,2005,-46
1,0,2006,26
1,0,2007,-26
1,0,2008,21
1,0,2009,6
1,0,2010,17
1,0,2011,-30
1,0,2012,12
1,0,2013,-42
1,0,2014,148
1,0,2015,107
1,0,2016,218
1,0,2017,188
1,0,2018,145
1,0,2019,98
1,0,2020,-25
1,0,2021,-150
1,0,2022,-32
1,0,2023,56
1,1,2000,-42
1,1,2001,-129
1,1,2002,-140
1,1,2003,-154
1,1,2004,-109
1,1,2005,-74
1,1,2006,14
1,1,2007,-9
1,1,2008,117
1,1,2009,90
1,1,2010,104
1,1,2011,92
1,1,2012,-25
1,1,2013,6
1,1,2014,-118
1,1,2015,145
1,1,2016,172
1,1,2017,218
1,1,2018,259
1,1,2019,216
1,1,2020,-75
1,1,2021,-151
1,1,2022,-77
1,1,2023,8
1,2,2000,-119
1,2,2001,-187
1,2,2002,-202
1,2,2003,-193
1,2,2004,-219
1,2,2005,-125
1,2,2006,-39
1,2,2007,4
1,2,2008,5
1,2,2009,154
1,2,2010,199
1,2,2011,158
1,2,2012,52
1,2,2013,122
1,2,2014,28
1,2,2015,40
1,2,2016,-25
1,2,2017,82
1,2,2018,190
1,2,2019,54
1,2,2020,-247
1,2,2021,-108
1,2,2022,-69
1,2,2023,-176
1,3,2000,-67
1,3,2001,-142
1,3,2002,-142
1,3,2003,-183
1,3,2004,-223
1,3,2005,-143
1,3,2006,-53
1,3,2007,-1
1,3,2008,58
1,3,2009,115
1,3,2010,21
1,3,2011,57
1,3,2012,-29
1,3,2013,115
1,3,2014,17
1,3,2015,19
1,3,2016,40
1,3,2017,172
1,3,2018,81
1,3,2019,57
1,3,2020,-218
1,3,2021,-321
1,3,2022,-117
1,3,2023,-149
1,4,2000,-3
1,4,2001,-64
1,4,2002,-72
1,4,2003,-105
1,4,2004,-111
1,4,2005,-113
1,4,2006,3
1,4,2007,17
1,4,2008,40
1,4,2009,34
1,4,2010,73
1,4,2011,92
1,4,2012,36
1,4,2013,5
1,4,2014,69
1,4,2015,86
1,4,2016,54
1,4,2017,118
1,4,2018,164
1,4,2019,53
1,4,2020,-203
1,4,2021,-139
1,4,2022,-152
1,4,2023,-177
1,5,2000,42
1,5,2001,-96
1,5,2002,-101
1,5,2003,-73
1,5,2004,-131
1,5,2005,-59
1,5,2006,40
1,5,2007,59
1,5,2008,30
1,5,2009,140
1,5,2010,128
1,5,2011,151
1,5,2012,87
1,5,2013,133
1,5,2014,32
1,5,2015,4
1,5,2016,95
1,5,2017,163
1,5,2018,131
1,5,2019,78
1,5,2020,-219
1,5,2021,-215
1,5,2022,-154
1,5,2023,-173
1,6,2000,-56
1,6,2001,-46
1,6,2002,-80
1,6,2003,-105
1,6,2004,-83
1,6,2005,-6
1,6,2006,100
1,6,2007,104
1,6,2008,18
1,6,2009,132
1,6,2010,100
1,6,2011,120
1,6,2012,112
1,6,2013,65
1,6,2014,147
1,6,2015,93
1,6,2016,118
1,6,2017,137
1,6,2018,56
1,6,2019,41
1,6,2020,-240
1,6,2021,-229
1,6,2022,-154
1,6,2023,-277
1,7,2000,-31
1,7,2001,-82
1,7,2002,-45
1,7,2003,-76
1,7,2004,-68
1,7,2005,-42
1,7,2006,21
1,7,2007,131
1,7,2008,137
1,7,2009,191
1,7,2010,113
1,7,2011,102
1,7,2012,115
1,7,2013,112
1,7,2014,100
1,7,2015,96
1,7,2016,82
1,7,2017,251
1,7,2018,190
1,7,2019,235
1,7,2020,-68
1,7,2021,-123
1,7,2022,-176
1,7,2023,-248
1,8,2000,-11
1,8,2001,-34
1,8,2002,-63
1,8,2003,-28
1,8,2004,-50
1,8,2005,-23
1,8,2006,72
1,8,2007,130
1,8,2008,80
1,8,2009,148
1,8,2010,92
1,8,2011,127
1,8,2012,125
1,8,2013,146
1,8,2014,77
1,8,2015,49
1,8,2016,122
1,8,2017,170
1,8,2018,140
1,8,2019,141
1,8,2020,-145
1,8,2021,-115
1,8,2022,-55
1,8,2023,-197
1,9,2000,-49
1,9,2001,-65
1,9,2002,-77
1,9,2003,-71
1,9,2004,-110
1,9,2005,-10
1,9,2006,146
1,9,2007,154
1,9,2008,154
1,9,2009,214
1,9,2010,143
1,9,2011,187
1,9,2012,146
1,9,2013,124
1,9,2014,137
1,9,2015,60
1,9,2016,181
1,9,2017,267
1,9,2018,191
1,9,2019,189
1,9,2020,-64
1,9,2021,-77
1,9,2022,-20
1,9,2023,-169
1,10,2000,27
1,10,2001,-36
1,10,2002,-33
