Region,Year,Predicted_Births_SARIMA
1,2025,25862.184815221644
1,2026,26267.77938526367
1,2027,26285.24065220884
1,2028,26279.79094662708
1,2029,26836.64143485877
1,2030,26202.39013342891
1,2031,26233.367962871664
1,2032,25988.234817757566
1,2033,26003.066587919937
1,2034,26449.665719591743
1,2035,24595.938745405605
3,2025,3815.226934211184
3,2026,3840.1638956172665
3,2027,3907.276430467654
3,2028,4038.9354727615346
3,2029,4129.098000069048
3,2030,3991.0691748946674
3,2031,4024.0458304157405
3,2032,4045.888525277819
3,2033,3960.0646000389697
3,2034,3985.003672481418
3,2035,4017.0350407539536
4,2025,2444.5736405464745
4,2026,2489.3323359871974
4,2027,2614.881419147387
4,2028,2662.9769659289595
4,2029,2597.096996200982
4,2030,2548.761138315349
4,2031,2443.657568654587
4,2032,2453.6599126017645
4,2033,2350.561174881195
4,2034,2321.217779925357
4,2035,2340.0799744930696
5,2025,4315.404544074658
5,2026,4265.056181148086
5,2027,4372.562370420206
5,2028,4412.776838032205
5,2029,4495.472350343077
5,2030,4330.876685233979
5,2031,4334.324223015738
5,2032,4275.442852957159
5,2033,4137.972746117105
5,2034,4221.162521326964
5,2035,4180.364356891167
6,2025,3585.8859832830626
6,2026,3588.3393030238694
6,2027,3667.961534924129
6,2028,3748.7292437782157
6,2029,3789.7843949550634
6,2030,3645.1414826521273
6,2031,3614.4761276141166
6,2032,3578.718850510496
6,2033,3477.549542531159
6,2034,3470.722508360054
6,2035,3450.390792904815
7,2025,1940.302966307308
7,2026,2003.3285611358149
7,2027,2077.4187696121803
7,2028,2078.704199571357
7,2029,2186.5524686489334
7,2030,2112.8524381855514
7,2031,2176.968467036085
7,2032,2162.816702955413
7,2033,2192.9555151459367
7,2034,2175.592493153385
7,2035,2132.8517757027375
8,2025,2134.26445295853
8,2026,2135.1310694802182
8,2027,2226.5320349865956
8,2028,2237.9541844305645
8,2029,2219.8966740224255
8,2030,2169.5783979695084
8,2031,2104.4218260963758
8,2032,2021.4113381782404
8,2033,1939.0129330674613
8,2034,1931.7863493627813
8,2035,1940.9046748140931
9,2025,479.2842124539302
9,2026,478.1701709977649
9,2027,514.343440051481
9,2028,477.99486223901516
9,2029,467.0397637317806
9,2030,461.942890884719
9,2031,450.6546801927358
9,2032,429.9627895828339
9,2033,427.08548425707613
9,2034,419.4012089852406
9,2035,417.0427555495844
10,2025,1222.355581245869
10,2026,1184.0162487083762
10,2027,1242.1911815038582
10,2028,1233.0045445045712
10,2029,1234.612791391976
10,2030,1195.7754107071548
10,2031,1190.2308290879428
10,2032,1144.0991050501868
10,2033,1071.6090899609842
10,2034,1084.9686734462516
10,2035,1033.3767899097008
12,2025,13844.393160575937
12,2026,13675.728659398423
12,2027,13990.998357722201
12,2028,14058.335538807181
12,2029,14241.696728888299
12,2030,14083.580843398433
12,2031,14361.91613968964
12,2032,14364.157093463853
12,2033,14377.962681611167
12,2034,14508.307854010072
12,2035,14349.097254077822
13,2025,3022.4273157306116
13,2026,3007.3027314876354
13,2027,3117.115040525075
13,2028,3105.291213625686
13,2029,3156.599300547524
13,2030,3135.9479905319145
13,2031,3180.6421835936535
13,2032,3118.649697738699
13,2033,3118.479643359395
13,2034,3174.3970711105967
13,2035,3117.382809987593
14,2025,17514.62091871843
14,2026,17459.823451365748
14,2027,17699.449752389155
14,2028,17663.059338672752
14,2029,18661.423258503266
14,2030,18097.33223375572
14,2031,18245.002077847363
14,2032,18069.02286329482
14,2033,17878.678341909785
14,2034,18126.59947756877
14,2035,17172.190877904537
17,2025,2213.583012825231
17,2026,2167.0074071926465
17,2027,2182.5479409269074
17,2028,2261.764492432261
17,2029,2256.5326962806375
17,2030,2218.7062207339964
17,2031,2120.6790469601883
17,2032,2085.8429759144624
17,2033,1981.201721674975
17,2034,1977.056427773961
17,2035,1995.9698913438813
18,2025,2737.611521558138
18,2026,2773.3381967391115
18,2027,2788.172102094136
18,2028,2777.741097627777
18,2029,2774.715906615778
18,2030,2709.7110971741245
18,2031,2718.7207423360232
18,2032,2732.4591336590534
18,2033,2666.3241416171413
18,2034,2625.7299985955433
18,2035,2580.4802111037784
19,2025,2551.5275885106807
19,2026,2513.669390865232
19,2027,2595.1334959829373
19,2028,2648.3127335136537
19,2029,2630.9465363251857
19,2030,2547.585554908493
19,2031,2488.7767152097786
19,2032,2411.8342451685157
19,2033,2305.16375819131
19,2034,2244.882225529591
19,2035,2327.2149121814646
20,2025,2423.7845209497927
20,2026,2318.5028163673214
20,2027,2496.799644411266
20,2028,2529.861590397379
20,2029,2600.3447648501424
20,2030,2459.225049868046
20,2031,2329.1335478142028
20,2032,2297.381433977084
20,2033,2285.134808934596
20,2034,2202.367221269445
20,2035,2181.30347914976
21,2025,2355.384697792707
21,2026,2258.1652333630122
21,2027,2280.606127192488
21,2028,2396.6337937845715
21,2029,2379.955044613545
21,2030,2370.920958012983
21,2031,2551.863423238513
21,2032,2387.9871984955175
21,2033,2304.8677199797507
21,2034,2362.1518497496554
21,2035,2214.384940483757
22,2025,1905.2932080487753
22,2026,1967.5483857004665
22,2027,2014.1428739090497
22,2028,2083.804277955441
22,2029,2062.581224687538
22,2030,1884.0138736899132
22,2031,1880.4335150357297
22,2032,1800.4644941568602
22,2033,1745.914565913807
22,2034,1703.823297723642
22,2035,1698.6204287243652
23,2025,1200.9068840718865
23,2026,1218.345977678865
23,2027,1293.429881276005
23,2028,1324.055083175511
23,2029,1269.1225075597652
23,2030,1257.3118809367918
23,2031,1232.9770357432258
23,2032,1197.6484532491056
23,2033,1184.7403966244206
23,2034,1183.9243340586872
23,2035,1205.3238568003883
24,2025,2298.272499692212
24,2026,2363.4832193253974
24,2027,2304.747808708956
24,2028,2445.3791058702254
24,2029,2404.818395753088
24,2030,2299.211614744649
24,2031,2270.0383613480403
24,2032,2200.7179409957585
24,2033,2165.392653116954
24,2034,2211.904800922291
24,2035,2119.9031788133348
25,2025,1972.392828230469
25,2026,2007.0524477150677
25,2027,1986.2560341098622
25,2028,1987.8458233269353
25,2029,2030.3558138283445
25,2030,1838.09372619931
25,2031,1781.3326350365699
25,2032,1644.9331873141766
25,2033,1605.1710845543575
25,2034,1574.9664428107144
25,2035,1598.5709252694992
