Year,Predicted_Births,Predicted_Births_ARIMA
2025,1585.9885366675912,23749.250000000004
2026,1623.6410772457903,23749.250000000004
2027,1571.1992644203865,23749.250000000004
2028,1545.4330354957988,23749.250000000004
2029,1932.4018579054848,23749.250000000004
2030,1837.7077520904998,23749.250000000004
2031,1847.5983839698522,23749.250000000004
2032,1824.4403356442058,23749.250000000004
2033,2170.3438498175187,23749.250000000004
2034,2108.3968953084423,23749.250000000004
2035,2052.1927165769066,23749.250000000004
