Region,Year,Predicted_Births_LSTM,Grundskola_Fixed_Cost_per_Child,Grundskola_Current_Cost_per_Child,Gymnasieskola_Fixed_Cost_per_Child,Gymnasieskola_Current_Cost_per_Child,Total_Grundskola_Cost,Total_Gymnasieskola_Cost
1,2025,26855.203,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,7155315911.129239,7335064100.18804
3,2025,3604.625,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,960418382.0972879,984544984.900703
4,2025,2587.9414,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,689532612.2275106,706854312.6086359
5,2025,4262.244,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,1135634771.046606,1164162972.4654052
6,2025,3567.593,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,950551554.4728258,974430293.3916436
7,2025,2059.3655,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,548698541.9168353,562482359.4971817
8,2025,2132.1194,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,568083133.3595701,582353909.9017223
9,2025,478.96198,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,127614908.60150878,130820713.76831453
10,2025,1436.0646,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,382625887.4970875,392237805.57573503
12,2025,12930.923,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,3445322647.067201,3531872355.5951457
13,2025,2918.0312,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,777481930.579022,797012999.6168201
14,2025,16600.969,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,4423171838.465093,4534286027.934123
17,2025,2451.9001,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,653285689.1094575,669696833.0776521
18,2025,2863.151,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,762859618.1628413,782023361.1161861
19,2025,2679.6309,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,713962415.9505912,731897815.7172958
20,2025,2529.9722,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,674087264.8542126,691020963.7474629
21,2025,2399.1921,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,639242138.9250185,655300495.8541834
22,2025,2164.539,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,576721030.444632,591208798.9935105
23,2025,1187.9292,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,316512547.1609739,324463636.654882
24,2025,2501.35,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,666461149.2344005,683203273.0121367
25,2025,2228.7703,137064.47275173667,129376.10902786256,142420.43353134394,130713.38341236116,593834855.385092,608752539.1297667
1,2026,26246.648,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,7134380066.870267,7206844373.432455
3,2026,3542.1528,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,962830161.4030372,972609682.4447074
4,2026,2582.514,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,701980550.2025783,709110606.817699
5,2026,4312.7983,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,1172307497.0926564,1184214691.4190361
6,2026,3604.3171,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,979727699.8159783,989678850.1221712
7,2026,2033.7621,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,552818469.8859913,558433478.7164125
8,2026,2131.3606,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,579347754.4238279,585232222.7152824
9,2026,468.36392,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,127310969.95278104,128604074.75921376
10,2026,1427.3689,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,387988295.80945116,391929115.1303386
12,2026,12694.9,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,3450735557.199965,3485784875.702515
13,2026,2894.9336,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,786902638.7961229,794895253.9242557
14,2026,16636.924,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,4522258955.110593,4568191798.0773535
17,2026,2447.3376,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,665236817.6820948,671993666.1035606
18,2026,2888.4873,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,785150401.5494822,793125219.1036395
19,2026,2671.9563,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,726292811.4198976,733669809.0633287
20,2026,2513.7988,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,683302342.1064053,690242683.0931423
21,2026,2381.2825,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,647281679.6105543,653856156.6672502
22,2026,2131.2368,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,579314103.0313804,585198229.5237163
23,2026,1195.5115,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,324964674.1676946,328265358.9574103
24,2026,2494.243,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,677986672.4745458,684873021.9006742
25,2026,2163.8425,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334,588177004.539655,594151152.029738
1,2027,26272.889,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,7304944578.321285,7260508990.492557
3,2027,3522.7815,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,979478260.6144123,973520146.6534897
4,2027,2643.439,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,734984850.3974208,730513976.7963338
5,2027,4360.9414,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,1212521212.886289,1205145511.0898232
6,2027,3643.2554,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,1012974963.7228608,1006813091.105457
7,2027,2038.7699,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,566861951.399773,563413760.4165119
8,2027,2137.6467,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,594353771.7352434,590738349.4767836
9,2027,471.18988,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,131010181.60834378,130213253.66879559
10,2027,1442.0796,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,400957487.22295934,398518484.2369604
12,2027,12508.791,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,3477958780.8864145,3456802543.3248844
13,2027,2917.0117,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,811049321.7101004,806115751.9914151
14,2027,16709.137,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,4645827862.195802,4617567539.370026
17,2027,2484.152,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,690696507.8764646,686495037.8981949
18,2027,2922.8604,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,812675501.0524341,807732039.3716378
19,2027,2699.9092,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,750685890.4058766,746119508.2167617
20,2027,2530.801,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,703666850.027802,699386482.1507659
21,2027,2401.7095,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,667774099.4044365,663712065.2129799
22,2027,2164.6265,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,601855266.669211,598194213.2176037
23,2027,1209.391,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,336260478.5686324,334215024.0318369
24,2027,2523.3818,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,701604007.0410455,697336187.3277541
25,2027,2185.7534,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585,607729414.4879658,604032628.9088222
1,2028,26367.062,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,7614302281.7135935,7376287514.381526
3,2028,3560.0737,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,1028081069.365201,995944378.7703022
4,2028,2670.4744,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,771181837.2929733,747075535.9165726
5,2028,4409.063,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,1273252911.572741,1233452417.149152
6,2028,3683.5278,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,1063732247.9195995,1030481140.4477772
7,2028,2050.136,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,592039993.7855488,573533470.6454623
8,2028,2141.8765,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,618532892.3297834,599198230.136418
9,2028,474.69464,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,137082716.32498202,132797660.43618485
10,2028,1465.9854,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,423348493.5173595,410115082.30555254
12,2028,12600.047,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,3638652141.895768,3524911852.777545
13,2028,2950.6582,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,852093550.0821792,825458036.9958346
14,2028,16993.193,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,4907308528.85693,4753911427.650739
17,2028,2516.457,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,726704563.3273113,703988572.9239757
18,2028,2949.7107,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,851819930.2373924,825192970.2083452
19,2028,2710.5146,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,782744679.8356984,758276936.6389337
20,2028,2541.5957,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,733964138.200284,711021221.420717
21,2028,2415.393,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,697519216.6322907,675715528.2687368
22,2028,2206.9849,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,637334950.696344,617412556.7080079
23,2028,1220.6116,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,352489241.7276555,341470813.28170943
24,2028,2542.2874,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,734163887.9064994,711214727.1694311
25,2028,2223.888,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686,642216242.0930887,622141264.270661
1,2029,26234.795,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,7855695786.421796,7400796115.266057
3,2029,3598.6572,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,1077574884.912059,1015175770.4199414
4,2029,2706.7346,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,810499323.2149168,763565749.712785
5,2029,4451.577,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,1332971524.3375137,1255783160.0516691
6,2029,3720.864,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,1114168250.472266,1049650124.4485929
7,2029,2050.848,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,614101920.4530307,578541128.73385
8,2029,2146.568,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,642764130.3417032,605543596.4166837
9,2029,474.02264,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,141940413.7031197,133721072.05946
10,2029,1473.9031,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,441342666.19060767,415785842.3044129
12,2029,12661.352,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,3791290519.205627,3571748309.663412
13,2029,2984.5042,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,893674109.8414588,841924135.0792042
14,2029,17220.037,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,5156334253.914598,4857746475.028213
17,2029,2544.1157,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,761805037.3429462,717691203.2035084
18,2029,2974.9346,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,890808607.5039052,839224565.3473024
19,2029,2722.6501,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,815265029.4569056,768055488.2669654
20,2029,2552.6587,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,764363136.5811298,720101170.6232164
21,2029,2427.8523,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928,726991351.8731314,684893473.3539852
