Region,Age,Year,MigrationCoefficient
1,0,2000,8.008328661808281e-05
1,0,2001,-0.001539441554305128
1,0,2002,-0.0029049026602792783
1,0,2003,-0.0033556200327992934
1,0,2004,-0.0020286007663602897
1,0,2005,-0.0011781278012549623
1,0,2006,0.0006713835665960853
1,0,2007,-0.0007038821809518653
1,0,2008,0.0005784327227654593
1,0,2009,0.0001681708615953809
1,0,2010,0.00046991182242861484
1,0,2011,-0.0008001066808907855
1,0,2012,0.0003073455588566745
1,0,2013,-0.0010468072379243307
1,0,2014,0.0037851662404092073
1,0,2015,0.002769867978255242
1,0,2016,0.005584588584895993
1,0,2017,0.0048968535111481555
1,0,2018,0.003715471736790857
1,0,2019,0.002398962081711586
1,0,2020,-0.0005713502148276808
1,0,2021,-0.003403212632725293
1,0,2022,-0.0007117437722419929
1,0,2023,0.0012561968639942574
1,1,2000,-0.0009568723942314265
1,1,2001,-0.003029164514159583
1,1,2002,-0.003347040260112843
1,1,2003,-0.0038817331686537442
1,1,2004,-0.0027673403066923938
1,1,2005,-0.0018649193548387097
1,1,2006,0.0003569880409006298
1,1,2007,-0.0002295391364227601
1,1,2008,0.0029255119645938037
1,1,2009,0.0021770155535666773
1,1,2010,0.0023889922587462383
1,1,2011,0.0020259854657564413
1,1,2012,-0.0005330035817840696
1,1,2013,0.00012352795849460594
1,1,2014,-0.0023251231527093596
1,1,2015,0.0027375535710914343
1,1,2016,0.003223025896638309
1,1,2017,0.003990992805228567
1,1,2018,0.004691094166017641
1,1,2019,0.003995486579974473
1,1,2020,-0.0014220435714150281
1,1,2021,-0.002879371496129057
1,1,2022,-0.0014834794335805799
1,1,2023,0.00015348899675754496
1,2,2000,-0.002268913971934106
1,2,2001,-0.003518940178016974
1,2,2002,-0.003778526000748223
1,2,2003,-0.003542714490252946
1,2,2004,-0.00396523628462792
1,2,2005,-0.0022050522156364665
1,2,2006,-0.0007179279494873258
1,2,2007,7.283851700779372e-05
1,2,2008,0.0001225670441731627
1,2,2009,0.003953482401868919
1,2,2010,0.005104527382326536
1,2,2011,0.003988287560581583
1,2,2012,0.001304696908871939
1,2,2013,0.003069645732689211
1,2,2014,0.0007151796888968353
1,2,2015,0.001024642655873764
1,2,2016,-0.0006696308994482242
1,2,2017,0.002226204050605419
1,2,2018,0.005270311503148318
1,2,2019,0.0014814408383857782
1,2,2020,-0.006528174225605244
1,2,2021,-0.002733485193621868
1,2,2022,-0.0017015190372854606
1,2,2023,-0.004469046772637246
1,3,2000,-0.001721037760082199
1,3,2001,-0.0035872173803208284
1,3,2002,-0.0036483222855968347
1,3,2003,-0.004649980942701054
1,3,2004,-0.005444867662857701
1,3,2005,-0.003274334256863508
1,3,2006,-0.0012028778284650825
1,3,2007,-2.228064702998975e-05
1,3,2008,0.0012940362776377144
1,3,2009,0.0026074732450571377
1,3,2010,0.0004893165878323275
1,3,2011,0.0013558515699333968
1,3,2012,-0.0007272544889156384
1,3,2013,0.002899720113971608
1,3,2014,0.00042558517962198024
1,3,2015,0.0004811710183098235
1,3,2016,0.0010146103896103895
1,3,2017,0.0042889559384584695
1,3,2018,0.0019539730785931393
1,3,2019,0.0013070696415877457
1,3,2020,-0.004790682342599714
1,3,2021,-0.006819630337794774
1,3,2022,-0.0023923934158061547
1,3,2023,-0.0029116917124264747
1,4,2000,-5.612722170252572e-05
1,4,2001,-0.001188265874489417
1,4,2002,-0.0013039226339237205
1,4,2003,-0.001883745963401507
1,4,2004,-0.0020363609679135554
1,4,2005,-0.002122623788413855
1,4,2006,5.6879585916614524e-05
1,4,2007,0.00032395144539512546
1,4,2008,0.0007571312297703999
1,4,2009,0.0006326876197919574
1,4,2010,0.0013537822450531314
1,4,2011,0.0017027892428140444
1,4,2012,0.0006593285837255728
1,4,2013,9.028530155290719e-05
1,4,2014,0.001211589113257243
1,4,2015,0.0015746878089867068
1,4,2016,0.0012568954681935619
1,4,2017,0.002781378903948144
1,4,2018,0.004045786461417012
1,4,2019,0.001341228869318757
1,4,2020,-0.005102169050192274
1,4,2021,-0.0034766514094194743
1,4,2022,-0.0037963934262450674
1,4,2023,-0.004460348259960185
1,5,2000,0.0010567632850241545
1,5,2001,-0.0025069856109471707
1,5,2002,-0.0026916107024837436
1,5,2003,-0.001990999590890495
1,5,2004,-0.0035305214930602346
1,5,2005,-0.0015234849071707078
1,5,2006,0.0009941098988493179
1,5,2007,0.0014291250847786067
1,5,2008,0.0007463800567248843
1,5,2009,0.0034937113196246757
1,5,2010,0.0031583103039873666
1,5,2011,0.003817083343866124
1,5,2012,0.0021859845724766956
1,5,2013,0.003214268451834308
1,5,2014,0.000729062243689055
1,5,2015,9.026696454764967e-05
1,5,2016,0.0021057764773684444
1,5,2017,0.0036149922377467286
1,5,2018,0.0029401202980518897
1,5,2019,0.0018035933128309478
1,5,2020,-0.00515743117537621
1,5,2021,-0.005335252369844657
1,5,2022,-0.003836954355192346
1,5,2023,-0.004269391179882036
1,6,2000,-0.00140544610365165
1,6,2001,-0.001157145372676276
1,6,2002,-0.0019849638984690966
1,6,2003,-0.0025267717482854047
1,6,2004,-0.0018974030724213606
1,6,2005,-0.000131250820317627
1,6,2006,0.0021039786235771845
1,6,2007,0.0021051779280191084
1,6,2008,0.0003491687843106826
1,6,2009,0.0024443539128180436
1,6,2010,0.0018368846436443791
1,6,2011,0.0021570319240724763
1,6,2012,0.0019976100023186543
1,6,2013,0.0011828504876983548
1,6,2014,0.0027452518348366857
1,6,2015,0.00175190731845154
1,6,2016,0.002237178879514646
1,6,2017,0.0025730115503803173
1,6,2018,0.0010236911377595789
1,6,2019,0.0007559136414756909
1,6,2020,-0.004486736086444449
1,6,2021,-0.004216457071311521
1,6,2022,-0.0027870780924803187
1,6,2023,-0.00488630951330946
1,7,2000,-0.0012557725026330713
1,7,2001,-0.003290265628761737
1,7,2002,-0.001801946101789933
1,7,2003,-0.0033003300330033004
1,7,2004,-0.00307178027736369
1,7,2005,-0.0018182605307589072
1,7,2006,0.0008699975142928163
1,7,2007,0.005521368962319818
1,7,2008,0.005933047507686978
1,7,2009,0.008278432732316227
1,7,2010,0.005196119004920219
1,7,2011,0.004803164437747222
1,7,2012,0.005566311713455953
1,7,2013,0.005410628019323672
1,7,2014,0.004633490872022982
1,7,2015,0.004296455424274973
1,7,2016,0.0038095238095238095
1,7,2017,0.011781825009387908
1,7,2018,0.009065750548716481
1,7,2019,0.010828495069578841
1,7,2020,-0.002982848620432513
1,7,2021,-0.005202825599593926
1,7,2022,-0.0073059360730593605
1,7,2023,-0.009675783231243415
1,8,2000,-0.00041425020712510354
1,8,2001,-0.0012045631687097004
1,8,2002,-0.0022450288646568314
1,8,2003,-0.0009852910127384053
1,8,2004,-0.001785076758300607
1,8,2005,-0.0008216926869350862
1,8,2006,0.0027968768208833468
1,8,2007,0.005261453780152177
1,8,2008,0.003336113427856547
1,8,2009,0.0061653822120391584
1,8,2010,0.003783205855744716
1,8,2011,0.005035087023748166
1,8,2012,0.004817883985353632
1,8,2013,0.00529657173952476
1,8,2014,0.002639607829693874
1,8,2015,0.0016164148578214686
1,8,2016,0.00397769880342995
1,8,2017,0.005345407665943464
1,8,2018,0.004361642469935822
1,8,2019,0.0042951139271353725
1,8,2020,-0.004390879084274596
1,8,2021,-0.003411349411171428
1,8,2022,-0.0016934018904522922
1,8,2023,-0.00602078239608802
1,9,2000,-0.0014742606131720672
1,9,2001,-0.0019252413956519165
1,9,2002,-0.0022793878215564964
1,9,2003,-0.002069608814784586
1,9,2004,-0.003300132005280211
1,9,2005,-0.0003028192471913515
1,9,2006,0.004462239065986124
1,9,2007,0.004703295360840485
1,9,2008,0.006097802415363294
1,9,2009,0.008549057206775328
1,9,2010,0.00567753206018978
1,9,2011,0.0075212162651329285
1,9,2012,0.006430584918957012
1,9,2013,0.005668312305723167
1,9,2014,0.005999824822632916
1,9,2015,0.0025054284282612325
1,9,2016,0.007647456481324996
1,9,2017,0.011576482830385015
1,9,2018,0.008323890874226445
1,9,2019,0.008754863813229572
1,9,2020,-0.0030379266150852044
1,9,2021,-0.0037606837606837607
1,9,2022,-0.0009689453030376435
1,9,2023,-0.007866319121206479
1,10,2000,0.0012095690350327033
1,10,2001,-0.0016713867867589023
1,10,2002,-0.0015474794841735054
1,10,2003,-0.0010051694428489374
1,10,2004,-0.005485565524615313
1,10,2005,-0.00062015503875969
1,10,2006,0.003538691110637391
1,10,2007,0.00646749561879329
1,10,2008,0.004642634207240949
1,10,2009,0.007824549524131964
1,10,2010,0.005051753983113717
1,10,2011,0.005182458272275635
1,10,2012,0.006197619550672583
1,10,2013,0.006545766713166649
1,10,2014,0.0059002324333988915
1,10,2015,0.0052170527545259875
1,10,2016,0.005863323898099474
1,10,2017,0.009489173146058022
1,10,2018,0.012064790849127495
1,10,2019,0.007850590860259483
1,10,2020,-0.0013140081229593055
1,10,2021,-0.0016250096726766231
1,10,2022,-0.0021562567383023074
1,10,2023,-0.0034924330616996507
1,11,2000,0.0021057480340867965
1,11,2001,0.0005527017361336888
1,11,2002,-0.0008144342814183686
1,11,2003,-0.0021090503070529125
1,11,2004,-0.0008213677293745437
1,11,2005,3.0248033877797942e-05
1,11,2006,0.004163590727890152
1,11,2007,0.005937806072477963
1,11,2008,0.005042067855298728
1,11,2009,0.006045445069835314
1,11,2010,0.004642143612645434
1,11,2011,0.005488668555240793
1,11,2012,0.006406318560772268
1,11,2013,0.006604226705091258
1,11,2014,0.003578143004427194
1,11,2015,0.003495752966790347
1,11,2016,0.005734188506137706
1,11,2017,0.010857342277715305
1,11,2018,0.008324128136342118
1,11,2019,0.008184671619849815
1,11,2020,-4.07000407000407e-05
1,11,2021,-0.0022745517795022745
1,11,2022,-0.0006891798759476223
1,11,2023,-0.0036895506654368165
1,12,2000,0.004500937695353199
1,12,2001,0.00016927634363097757
1,12,2002,-0.0006951685783802572
1,12,2003,-0.0017487103261344759
1,12,2004,-0.0017282451305525714
1,12,2005,0.0006664762448824145
1,12,2006,0.008674041226061108
1,12,2007,0.008305002428363283
1,12,2008,0.008288321847643882
1,12,2009,0.009144437505575876
1,12,2010,0.008564814814814815
1,12,2011,0.008497253650063378
1,12,2012,0.011889922331958961
1,12,2013,0.009832704226664803
1,12,2014,0.007083667468591286
1,12,2015,0.00792053774029199
1,12,2016,0.007669665436756353
1,12,2017,0.009684389227563855
1,12,2018,0.007950956715586105
1,12,2019,0.006779303804137834
1,12,2020,0.001244577199345708
1,12,2021,0.0002794955106033609
1,12,2022,-0.0009235906362118575
1,12,2023,-0.0027421652421652423
1,13,2000,0.0035165005023572145
1,13,2001,0.0045686100105118465
1,13,2002,0.00029308323563892143
1,13,2003,-0.0009167048627026126
1,13,2004,-0.0004955606029320669
1,13,2005,0.001465985181663299
1,13,2006,0.005719078847033704
1,13,2007,0.005415226762620685
1,13,2008,0.005531048523922633
1,13,2009,0.0074090923861826925
1,13,2010,0.00572255264426941
1,13,2011,0.006527253603910165
