key,values
"['01', '0', '2008']","['228', '65']"
"['01', '0', '2009']","['231', '71']"
"['01', '0', '2010']","['232', '70']"
"['01', '0', '2011']","['228', '85']"
"['01', '0', '2012']","['247', '85']"
"['01', '0', '2013']","['266', '97']"
"['01', '0', '2014']","['372', '47']"
"['01', '0', '2015']","['378', '39']"
"['01', '0', '2016']","['393', '40']"
"['01', '0', '2017']","['445', '45']"
"['01', '0', '2018']","['414', '36']"
"['01', '0', '2019']","['353', '30']"
"['01', '0', '2020']","['255', '38']"
"['01', '0', '2021']","['218', '42']"
"['01', '0', '2022']","['250', '31']"
"['01', '0', '2023']","['313', '37']"
"['01', '1', '2008']","['601', '242']"
"['01', '1', '2009']","['527', '215']"
"['01', '1', '2010']","['526', '196']"
"['01', '1', '2011']","['582', '214']"
"['01', '1', '2012']","['522', '254']"
"['01', '1', '2013']","['543', '257']"
"['01', '1', '2014']","['545', '309']"
"['01', '1', '2015']","['627', '141']"
"['01', '1', '2016']","['634', '172']"
"['01', '1', '2017']","['756', '186']"
"['01', '1', '2018']","['846', '184']"
"['01', '1', '2019']","['758', '143']"
"['01', '1', '2020']","['532', '145']"
"['01', '1', '2021']","['557', '156']"
"['01', '1', '2022']","['599', '175']"
"['01', '1', '2023']","['553', '204']"
"['01', '2', '2008']","['432', '229']"
"['01', '2', '2009']","['476', '193']"
"['01', '2', '2010']","['467', '202']"
"['01', '2', '2011']","['536', '232']"
"['01', '2', '2012']","['518', '234']"
"['01', '2', '2013']","['521', '232']"
"['01', '2', '2014']","['489', '261']"
"['01', '2', '2015']","['533', '232']"
"['01', '2', '2016']","['538', '210']"
"['01', '2', '2017']","['594', '250']"
"['01', '2', '2018']","['643', '200']"
"['01', '2', '2019']","['604', '226']"
"['01', '2', '2020']","['404', '244']"
"['01', '2', '2021']","['527', '206']"
"['01', '2', '2022']","['501', '211']"
"['01', '2', '2023']","['436', '316']"
"['01', '3', '2008']","['428', '215']"
"['01', '3', '2009']","['388', '145']"
"['01', '3', '2010']","['385', '228']"
"['01', '3', '2011']","['450', '222']"
"['01', '3', '2012']","['461', '284']"
"['01', '3', '2013']","['497', '260']"
"['01', '3', '2014']","['462', '264']"
"['01', '3', '2015']","['489', '277']"
"['01', '3', '2016']","['454', '257']"
"['01', '3', '2017']","['567', '266']"
"['01', '3', '2018']","['616', '240']"
"['01', '3', '2019']","['560', '216']"
"['01', '3', '2020']","['386', '255']"
"['01', '3', '2021']","['429', '280']"
"['01', '3', '2022']","['485', '269']"
"['01', '3', '2023']","['427', '346']"
"['01', '4', '2008']","['380', '213']"
"['01', '4', '2009']","['345', '185']"
"['01', '4', '2010']","['377', '192']"
"['01', '4', '2011']","['449', '218']"
"['01', '4', '2012']","['438', '229']"
"['01', '4', '2013']","['434', '272']"
"['01', '4', '2014']","['459', '291']"
"['01', '4', '2015']","['472', '260']"
"['01', '4', '2016']","['458', '236']"
"['01', '4', '2017']","['502', '266']"
"['01', '4', '2018']","['608', '230']"
"['01', '4', '2019']","['549', '243']"
"['01', '4', '2020']","['351', '281']"
"['01', '4', '2021']","['456', '266']"
"['01', '4', '2022']","['465', '297']"
"['01', '4', '2023']","['398', '382']"
"['01', '5', '2008']","['342', '219']"
"['01', '5', '2009']","['361', '172']"
"['01', '5', '2010']","['389', '214']"
"['01', '5', '2011']","['421', '216']"
"['01', '5', '2012']","['432', '244']"
"['01', '5', '2013']","['474', '250']"
"['01', '5', '2014']","['398', '264']"
"['01', '5', '2015']","['418', '286']"
"['01', '5', '2016']","['450', '240']"
"['01', '5', '2017']","['494', '254']"
"['01', '5', '2018']","['558', '238']"
"['01', '5', '2019']","['541', '238']"
"['01', '5', '2020']","['351', '292']"
"['01', '5', '2021']","['424', '305']"
"['01', '5', '2022']","['436', '303']"
"['01', '5', '2023']","['354', '372']"
"['01', '6', '2008']","['331', '197']"
"['01', '6', '2009']","['338', '159']"
"['01', '6', '2010']","['340', '189']"
"['01', '6', '2011']","['392', '207']"
"['01', '6', '2012']","['429', '258']"
"['01', '6', '2013']","['426', '276']"
"['01', '6', '2014']","['456', '253']"
"['01', '6', '2015']","['432', '235']"
"['01', '6', '2016']","['436', '238']"
"['01', '6', '2017']","['456', '270']"
"['01', '6', '2018']","['557', '296']"
"['01', '6', '2019']","['480', '246']"
"['01', '6', '2020']","['328', '339']"
"['01', '6', '2021']","['425', '340']"
"['01', '6', '2022']","['430', '335']"
"['01', '6', '2023']","['331', '451']"
"['01', '7', '2008']","['328', '187']"
"['01', '7', '2009']","['353', '166']"
"['01', '7', '2010']","['343', '194']"
"['01', '7', '2011']","['367', '212']"
"['01', '7', '2012']","['376', '211']"
"['01', '7', '2013']","['381', '221']"
"['01', '7', '2014']","['410', '246']"
"['01', '7', '2015']","['407', '241']"
"['01', '7', '2016']","['405', '266']"
"['01', '7', '2017']","['458', '245']"
"['01', '7', '2018']","['513', '234']"
"['01', '7', '2019']","['537', '243']"
"['01', '7', '2020']","['385', '262']"
"['01', '7', '2021']","['390', '308']"
"['01', '7', '2022']","['341', '322']"
"['01', '7', '2023']","['281', '415']"
"['01', '8', '2008']","['333', '194']"
"['01', '8', '2009']","['330', '125']"
"['01', '8', '2010']","['297', '177']"
"['01', '8', '2011']","['354', '198']"
"['01', '8', '2012']","['351', '212']"
