Region,Age,Year,MortalityCoefficient
1,0,2000,0.0017351378767251275
1,0,2001,0.0015128994585412465
1,0,2002,0.0015798593415553971
1,0,2003,0.0015895042260628232
1,0,2004,0.00145257832652959
1,0,2005,0.0014086310667178897
1,0,2006,0.001755926251097454
1,0,2007,0.0015431263197790892
1,0,2008,0.0016802093375568104
1,0,2009,0.0013733953696956108
1,0,2010,0.0016032285706388037
1,0,2011,0.0010134684624616616
1,0,2012,0.001485503534473927
1,0,2013,0.0014954389113204726
1,0,2014,0.0009462915601023018
1,0,2015,0.0015014237639140564
1,0,2016,0.0012296341838303104
1,0,2017,0.0014325901229422797
1,0,2018,0.0013580689796545893
1,0,2019,0.0008078137622090035
1,0,2020,0.0013026784898071122
1,0,2021,0.0008621472002904075
1,0,2022,0.0012233096085409252
1,0,2023,0.0007851230399964109
1,1,2000,0.0002733921126375504
1,1,2001,0.00035222843187902126
1,1,2002,0.00026298173472315197
1,1,2003,0.0001764424167569884
1,1,2004,0.0003300497613486341
1,1,2005,0.00035282258064516127
1,1,2006,0.00022949231200754776
1,1,2007,0.0002040347879313423
1,1,2008,0.0002500437576575901
1,1,2009,0.00026607967876926054
1,1,2010,0.00013782647646612916
1,1,2011,0.000286280554943845
1,1,2012,0.00019188128944226505
1,1,2013,0.00030881989623651485
1,1,2014,0.00015763546798029557
1,1,2015,0.00015103743840504466
1,1,2016,0.00024360079451336058
1,1,2017,0.0001281511451220182
1,1,2018,0.000181123326873268
1,1,2019,0.00018497623055437377
1,1,2020,0.0001706452285698034
1,1,2021,0.0002097555394531101
1,1,2022,0.0001541277333590213
1,1,2023,0.0001151167475681587
1,2,2000,3.813300793166565e-05
1,2,2001,3.763572382905854e-05
1,2,2002,9.352787130564908e-05
1,2,2003,3.671206725650721e-05
1,2,2004,1.810610175629187e-05
1,2,2005,0.00010584250635055038
1,2,2006,7.363363584485393e-05
1,2,2007,0.00014567703401558745
1,2,2008,4.902681766926509e-05
1,2,2009,0.00017970374553949632
1,2,2010,0.00015390534821085032
1,2,2011,0.00010096930533117933
1,2,2012,5.0180650341228424e-05
1,2,2013,7.548309178743961e-05
1,2,2014,0.00017879492222420883
1,2,2015,0.0001793124647779087
1,2,2016,0.00013392617988964482
1,2,2017,0.00016289297931259162
1,2,2018,0.00019416937116862224
1,2,2019,8.23022687992099e-05
1,2,2020,7.92895654931811e-05
1,2,2021,5.062009617818274e-05
1,2,2022,4.9319392385085815e-05
1,2,2023,5.0784622416332335e-05
1,3,2000,0.00010274852298998202
1,3,2001,0.00010104837691044587
1,3,2002,0.00017984687323364677
1,3,2003,0.00012704865963664082
1,3,2004,0.000122082234593222
1,3,2005,9.158976942275548e-05
1,3,2006,0.00011347904042123419
1,3,2007,6.684194108996925e-05
1,3,2008,8.92438812163941e-05
1,3,2009,0.00015871576274260839
1,3,2010,6.99023696903325e-05
1,3,2011,0.0
1,3,2012,7.523322299127295e-05
1,3,2013,0.00010085983005118636
1,3,2014,0.0
1,3,2015,0.00010129916174943652
1,3,2016,2.5365259740259742e-05
1,3,2017,7.480737101962446e-05
1,3,2018,0.00012061562213537898
1,3,2019,4.5862092687289324e-05
1,3,2020,6.592682122843644e-05
1,3,2021,6.373486297004461e-05
1,3,2022,4.0895613945404356e-05
1,3,2023,1.954155511695621e-05
1,4,2000,3.7418147801683815e-05
1,4,2001,0.0
1,4,2002,3.6220073164547794e-05
1,4,2003,1.794043774668102e-05
1,4,2004,1.8345594305527528e-05
1,4,2005,3.75685626267939e-05
1,4,2006,7.583944788881937e-05
1,4,2007,3.81119347523677e-05
1,4,2008,5.6784842232779996e-05
1,4,2009,3.7216918811291615e-05
1,4,2010,1.85449622610018e-05
1,4,2011,5.552573617871884e-05
1,4,2012,5.494404864379773e-05
1,4,2013,7.222824124232574e-05
1,4,2014,5.2677787532923617e-05
1,4,2015,1.8310323360310542e-05
1,4,2016,2.327584200358448e-05
1,4,2017,4.714201532115498e-05
1,4,2018,7.400828892835997e-05
1,4,2019,7.591861524445795e-05
1,4,2020,5.026767537135245e-05
1,4,2021,0.0
1,4,2022,7.49288176232579e-05
1,4,2023,2.5199707683390872e-05
1,5,2000,7.548309178743961e-05
1,5,2001,0.0001305721672368318
1,5,2002,7.99488327470419e-05
1,5,2003,2.727396699849993e-05
1,5,2004,2.6950545748551407e-05
1,5,2005,5.164355617527823e-05
1,5,2006,4.970549494246589e-05
1,5,2007,9.688983625617673e-05
1,5,2008,0.0
1,5,2009,7.48652425633859e-05
1,5,2010,2.4674299249901302e-05
1,5,2011,0.00010111479056599004
1,5,2012,5.025251890751024e-05
1,5,2013,9.666972787471603e-05
1,5,2014,4.5566390230565937e-05
1,5,2015,4.5133482273824835e-05
1,5,2016,2.216606818282573e-05
1,5,2017,6.65335994677312e-05
1,5,2018,8.977466558937069e-05
