Year,Grundskola_Fixed_Cost_per_Child,Grundskola_Current_Cost_per_Child,Gymnasieskola_Fixed_Cost_per_Child,Gymnasieskola_Current_Cost_per_Child
2025,137064.47275173667,129376.10902786255,142420.43353134394,130713.38341236115
2026,139413.01636588576,132407.60114192963,142991.97592675686,131589.53914642334
2027,141963.67589485648,136077.4857878685,143771.6341587305,132578.21798324585
2028,146089.75665748122,142691.08216762543,145279.5056616068,134474.3597626686
2029,150370.22056376937,149067.8267478943,146229.17595922947,135869.3163394928
2030,156010.8518676758,157631.68088197708,147332.660456419,137528.08344364166
2031,163824.77070689204,169618.31812858582,148606.65645051003,139472.6606607437
2032,174348.5124573708,185677.47089862823,149849.5779029131,141364.96098041534
2033,190074.06656718257,209843.310046196,151238.8716750145,143498.73628616333
2034,215125.93585610393,248336.85529232025,152776.85073566437,145869.25566196442
2035,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482
